,0
1580,18.1
1581,17.2
1582,16.7
1583,16.9
1584,16.7
1585,16.8
1586,16.6
1587,16.5
1588,16.6
1589,16.6
1590,16.6
1591,17.6
1592,17.6
1593,19.4
1594,21.1
1595,25.3
1596,27.1
1597,28.1
1598,27.3
1599,25.2
1600,21.9
1601,21.1
1602,22.9
1603,20.3
1604,20.1
1605,20.1
1606,19.9
1607,19.1
1608,19.0
1609,19.0
1610,18.2
1611,15.3
1612,16.9
1613,15.3
1614,14.9
1615,14.7
1616,15.0
1617,15.1
1618,15.6
1619,15.6
1620,16.0
1621,16.4
1622,16.7
1623,16.2
1624,15.9
1625,15.3
1626,14.7
1627,14.0
1628,14.3
1629,14.1
1630,14.0
1631,13.9
1632,13.9
1633,14.7
1634,14.8
1635,15.0
1636,15.0
1637,15.0
1638,14.9
1639,14.9
1640,16.3
1641,17.8
1642,19.4
1643,20.1
1644,21.9
1645,22.0
1646,22.9
1647,21.1
1648,20.0
1649,18.9
1650,18.9
1651,18.1
1652,18.1
1653,18.1
1654,18.1
1655,19.9
1656,14.4
1657,15.2
1658,14.9
1659,15.3
1660,14.2
1661,13.2
1662,13.0
1663,13.8
1664,13.9
1665,13.9
1666,13.9
1667,13.9
1668,14.9
1669,14.3
1670,15.7
1671,21.9
1672,15.0
1673,14.0
1674,14.3
1675,12.7
1676,12.4
1677,12.1
1678,12.1
1679,12.1
1680,12.3
1681,12.8
1682,13.0
1683,12.9
1684,12.9
1685,12.9
1686,13.0
1687,13.2
1688,13.7
1689,13.2
1690,14.1
1691,14.3
1692,14.9
1693,14.9
1694,14.0
1695,14.9
1696,15.1
1697,15.1
1698,15.3
1699,15.6
1700,15.9
1701,15.9
1702,16.3
1703,16.7
1704,16.9
1705,17.2
1706,17.2
1707,17.0
1708,16.0
1709,15.7
1710,15.6
1711,14.2
1712,13.8
1713,13.2
1714,13.4
1715,14.9
1716,15.0
1717,15.6
1718,15.1
1719,15.0
1720,14.5
1721,14.4
1722,14.1
1723,14.1
1724,14.1
1725,14.1
1726,14.2
1727,14.1
1728,13.0
1729,13.0
1730,13.0
1731,13.0
1732,11.4
1733,11.4
1734,13.0
1735,12.7
1736,13.9
1737,13.3
1738,14.3
1739,14.0
1740,14.0
1741,14.0
1742,13.3
1743,13.5
1744,13.1
1745,12.9
1746,12.5
1747,12.0
1748,12.4
1749,12.6
1750,12.6
1751,12.5
1752,12.5
1753,12.3
1754,12.4
1755,12.6
1756,12.6
1757,12.4
1758,12.4
1759,12.6
1760,11.3
1761,11.3
1762,13.2
1763,13.2
1764,13.2
1765,13.2
1766,13.3
1767,13.3
1768,13.3
1769,13.3
1770,13.6
1771,13.8
1772,13.6
1773,13.3
1774,14.8
1775,14.8
1776,15.0
1777,15.1
1778,15.3
1779,15.3
1780,15.7
1781,15.0
1782,15.1
1783,15.2
1784,15.2
1785,16.0
1786,17.1
